[2017/05/07 20:42:34]  SELECT * FROM pre_article WHERE artcate_id=2 ORDER BY article_id DESC  LIMIT 5 ; ERROR: 0 
[2017/05/07 20:42:34]  SELECT * FROM pre_article WHERE artcate_id=4 ORDER BY article_id DESC  LIMIT 5 ; ERROR: 0 
[2017/05/07 20:42:34]  SELECT * FROM pre_article WHERE artcate_id=5 ORDER BY article_id DESC  LIMIT 5 ; ERROR: 0 
[2017/05/07 20:42:34]  SELECT * FROM pre_article WHERE artcate_id=6 ORDER BY article_id DESC  LIMIT 5 ; ERROR: 0 
[2017/05/07 20:42:36]  SELECT * FROM pre_link WHERE 1 ORDER BY link_id DESC  LIMIT 6 ; ERROR: 0 
[2017/05/07 20:42:36]  SELECT * FROM pre_photograph WHERE 1 ORDER BY photo_id DESC  LIMIT 9 ; ERROR: 0 
[2017/05/07 20:42:36]  SELECT * FROM pre_article WHERE 1 ORDER BY article_id DESC  LIMIT 10 ; ERROR: 0 
[2017/05/07 20:42:36]  SELECT * FROM pre_article WHERE artcate_id=2 ORDER BY article_id DESC  LIMIT 5 ; ERROR: 0 
[2017/05/07 20:42:36]  SELECT * FROM pre_article WHERE artcate_id=4 ORDER BY article_id DESC  LIMIT 5 ; ERROR: 0 
[2017/05/07 20:42:36]  SELECT * FROM pre_article WHERE artcate_id=5 ORDER BY article_id DESC  LIMIT 5 ; ERROR: 0 
[2017/05/07 20:42:36]  SELECT * FROM pre_article WHERE artcate_id=6 ORDER BY article_id DESC  LIMIT 5 ; ERROR: 0 
[2017/05/07 20:43:01]  SELECT * FROM pre_link WHERE 1 ORDER BY link_id DESC  LIMIT 6 ; ERROR: 0 
[2017/05/07 20:43:01]  SELECT * FROM pre_photograph WHERE 1 ORDER BY photo_id DESC  LIMIT 9 ; ERROR: 0 
[2017/05/07 20:43:01]  SELECT * FROM pre_article WHERE 1 ORDER BY article_id DESC  LIMIT 10 ; ERROR: 0 
[2017/05/07 20:43:01]  SELECT * FROM pre_article WHERE artcate_id = 8 ; ERROR: 0 
[2017/05/07 20:43:01]  SELECT * FROM pre_admin WHERE admin_id = 1 ; ERROR: 0 
[2017/05/07 20:43:01]  SELECT * FROM pre_article WHERE 1 ORDER BY article_id DESC  LIMIT 5 ; ERROR: 0 
[2017/05/08 21:00:17]  SELECT * FROM pre_link WHERE 1 ORDER BY link_id DESC  LIMIT 6 ; ERROR: 0 
[2017/05/08 21:00:17]  SELECT * FROM pre_photograph WHERE 1 ORDER BY photo_id DESC  LIMIT 9 ; ERROR: 0 
[2017/05/08 21:00:17]  SELECT * FROM pre_article WHERE 1 ORDER BY article_id DESC  LIMIT 10 ; ERROR: 0 
[2017/05/08 21:00:17]  SELECT * FROM pre_article WHERE artcate_id = 8 ; ERROR: 0 
[2017/05/08 21:00:17]  SELECT * FROM pre_admin WHERE admin_id = 1 ; ERROR: 0 
[2017/05/08 21:00:17]  SELECT * FROM pre_article WHERE 1 ORDER BY article_id DESC  LIMIT 5 ; ERROR: 0 
[2017/05/08 23:41:38]  SELECT * FROM pre_link WHERE 1 ORDER BY link_id DESC  LIMIT 6 ; ERROR: 0 
[2017/05/08 23:41:38]  SELECT * FROM pre_photograph WHERE 1 ORDER BY photo_id DESC  LIMIT 9 ; ERROR: 0 
[2017/05/08 23:41:38]  SELECT * FROM pre_article WHERE 1 ORDER BY article_id DESC  LIMIT 10 ; ERROR: 0 
[2017/05/08 23:41:38]  SELECT * FROM pre_article WHERE artcate_id = 8 ; ERROR: 0 
[2017/05/08 23:41:38]  SELECT * FROM pre_admin WHERE admin_id = 1 ; ERROR: 0 
[2017/05/08 23:41:38]  SELECT * FROM pre_article WHERE 1 ORDER BY article_id DESC  LIMIT 5 ; ERROR: 0 
[2017/05/09 00:00:42]  SELECT * FROM pre_link WHERE 1 ORDER BY link_id DESC  LIMIT 6 ; ERROR: 0 
[2017/05/09 00:00:42]  SELECT * FROM pre_photograph WHERE 1 ORDER BY photo_id DESC  LIMIT 9 ; ERROR: 0 
[2017/05/09 00:00:42]  SELECT * FROM pre_article WHERE 1 ORDER BY article_id DESC  LIMIT 10 ; ERROR: 0 
[2017/05/09 00:00:42]  SELECT * FROM pre_article WHERE artcate_id = 8 ; ERROR: 0 
[2017/05/09 00:00:42]  SELECT * FROM pre_admin WHERE admin_id = 1 ; ERROR: 0 
[2017/05/09 00:00:42]  SELECT * FROM pre_article WHERE 1 ORDER BY article_id DESC  LIMIT 5 ; ERROR: 0 
[2017/05/09 00:00:55]  SELECT * FROM pre_link WHERE 1 ORDER BY link_id DESC  LIMIT 6 ; ERROR: 0 
[2017/05/09 00:00:55]  SELECT * FROM pre_photograph WHERE 1 ORDER BY photo_id DESC  LIMIT 9 ; ERROR: 0 
[2017/05/09 00:00:55]  SELECT * FROM pre_article WHERE 1 ORDER BY article_id DESC  LIMIT 10 ; ERROR: 0 
[2017/05/09 00:00:55]  SELECT * FROM pre_article WHERE article_id=28 ; ERROR: 0 
[2017/05/09 00:01:00]  SELECT * FROM pre_link WHERE 1 ORDER BY link_id DESC  LIMIT 6 ; ERROR: 0 
[2017/05/09 00:01:00]  SELECT * FROM pre_photograph WHERE 1 ORDER BY photo_id DESC  LIMIT 9 ; ERROR: 0 
[2017/05/09 00:01:00]  SELECT * FROM pre_article WHERE 1 ORDER BY article_id DESC  LIMIT 10 ; ERROR: 0 
[2017/05/09 00:01:00]  SELECT * FROM pre_article WHERE artcate_id=2 ORDER BY article_id DESC  LIMIT 5 ; ERROR: 0 
[2017/05/09 00:01:00]  SELECT * FROM pre_article WHERE artcate_id=4 ORDER BY article_id DESC  LIMIT 5 ; ERROR: 0 
[2017/05/09 00:01:00]  SELECT * FROM pre_article WHERE artcate_id=5 ORDER BY article_id DESC  LIMIT 5 ; ERROR: 0 
[2017/05/09 00:01:00]  SELECT * FROM pre_article WHERE artcate_id=6 ORDER BY article_id DESC  LIMIT 5 ; ERROR: 0 
[2017/05/09 00:01:03]  SELECT * FROM pre_link WHERE 1 ORDER BY link_id DESC  LIMIT 6 ; ERROR: 0 
[2017/05/09 00:01:03]  SELECT * FROM pre_photograph WHERE 1 ORDER BY photo_id DESC  LIMIT 9 ; ERROR: 0 
[2017/05/09 00:01:03]  SELECT * FROM pre_article WHERE 1 ORDER BY article_id DESC  LIMIT 10 ; ERROR: 0 
[2017/05/09 00:01:03]  SELECT * FROM pre_article WHERE article_id=27 ; ERROR: 0 
[2017/05/09 00:01:12]  SELECT * FROM pre_link WHERE 1 ORDER BY link_id DESC  LIMIT 6 ; ERROR: 0 
[2017/05/09 00:01:12]  SELECT * FROM pre_photograph WHERE 1 ORDER BY photo_id DESC  LIMIT 9 ; ERROR: 0 
[2017/05/09 00:01:12]  SELECT * FROM pre_article WHERE 1 ORDER BY article_id DESC  LIMIT 10 ; ERROR: 0 
[2017/05/09 00:01:12]  SELECT * FROM pre_article WHERE artcate_id = 8 ; ERROR: 0 
[2017/05/09 00:01:12]  SELECT * FROM pre_admin WHERE admin_id = 1 ; ERROR: 0 
[2017/05/09 00:01:12]  SELECT * FROM pre_article WHERE 1 ORDER BY article_id DESC  LIMIT 5 ; ERROR: 0 
[2017/05/09 00:01:16]  SELECT * FROM pre_link WHERE 1 ORDER BY link_id DESC  LIMIT 6 ; ERROR: 0 
[2017/05/09 00:01:16]  SELECT * FROM pre_photograph WHERE 1 ORDER BY photo_id DESC  LIMIT 9 ; ERROR: 0 
[2017/05/09 00:01:16]  SELECT * FROM pre_article WHERE 1 ORDER BY article_id DESC  LIMIT 10 ; ERROR: 0 
[2017/05/09 00:01:16]  SELECT * FROM pre_article WHERE article_id=26 ; ERROR: 0 
[2017/05/09 00:01:20]  SELECT * FROM pre_link WHERE 1 ORDER BY link_id DESC  LIMIT 6 ; ERROR: 0 
[2017/05/09 00:01:20]  SELECT * FROM pre_photograph WHERE 1 ORDER BY photo_id DESC  LIMIT 9 ; ERROR: 0 
[2017/05/09 00:01:20]  SELECT * FROM pre_article WHERE 1 ORDER BY article_id DESC  LIMIT 10 ; ERROR: 0 
[2017/05/09 00:01:20]  SELECT * FROM pre_article WHERE article_id=19 ; ERROR: 0 
[2017/05/09 00:01:36]  SELECT * FROM pre_link WHERE 1 ORDER BY link_id DESC  LIMIT 6 ; ERROR: 0 
[2017/05/09 00:01:36]  SELECT * FROM pre_photograph WHERE 1 ORDER BY photo_id DESC  LIMIT 9 ; ERROR: 0 
[2017/05/09 00:01:36]  SELECT * FROM pre_article WHERE 1 ORDER BY article_id DESC  LIMIT 10 ; ERROR: 0 
[2017/05/09 00:01:36]  SELECT * FROM pre_article WHERE artcate_id = 8 ; ERROR: 0 
[2017/05/09 00:01:36]  SELECT * FROM pre_admin WHERE admin_id = 1 ; ERROR: 0 
